com.flashforceapp.sfgiantsdefault,published,managed_by_android,false,en_US; American Pro ⚾  Home San Francisco; Flash Force Pattern,true,990000
com.flashforceapp.sfgiantsaway,published,managed_by_android,false,en_US; American Pro ⚾  Away San Francisco; Flash Force Pattern,true,990000
com.flashforceapp.sfgiantsalt1,published,managed_by_android,false,en_US; American Pro ⚾  Orange Alternate San Francisco; Flash Force Pattern,true,990000
com.flashforceapp.sfgiantsalt2,published,managed_by_android,false,en_US; American Pro ⚾  Black Alternate San Francisco; Flash Force Pattern,true,990000
com.flashforceapp.sfgiantsalt3,published,managed_by_android,false,en_US; American Pro ⚾  Gray Alternate San Francisco; Flash Force Pattern,true,990000
com.flashforceapp.nationalsdefault,published,managed_by_android,false,en_US; American Pro ⚾  Home Washington; Flash Force Pattern,true,990000
com.flashforceapp.nationalsaway,published,managed_by_android,false,en_US; American Pro ⚾  Away Washington; Flash Force Pattern,true,990000
com.flashforceapp.nationalsalt1,published,managed_by_android,false,en_US; American Pro ⚾  Red Alternate Washington; Flash Force Pattern,true,990000
com.flashforceapp.nationalsalt2,published,managed_by_android,false,en_US; American Pro ⚾  Blue Alternate Washington; Flash Force Pattern,true,990000
com.flashforceapp.marlinsdefault,published,managed_by_android,false,en_US; American Pro ⚾  Home Miami; Flash Force Pattern,true,990000
com.flashforceapp.marlinsaway,published,managed_by_android,false,en_US; American Pro ⚾  Away Miami; Flash Force Pattern,true,990000
com.flashforceapp.marlinsalt1,published,managed_by_android,false,en_US; American Pro ⚾  Black Alternate Miami; Flash Force Pattern,true,990000
com.flashforceapp.marlinsalt2,published,managed_by_android,false,en_US; American Pro ⚾  Red Alternate Miami; Flash Force Pattern,true,990000
com.flashforceapp.tigersdefault,published,managed_by_android,false,en_US; American Pro ⚾  Home Detroit; Flash Force Pattern,true,990000
com.flashforceapp.tigersaway,published,managed_by_android,false,en_US; American Pro ⚾  Away Detroit; Flash Force Pattern,true,990000
com.flashforceapp.piratesdefault,published,managed_by_android,false,en_US; American Pro ⚾  Home Pittsburgh; Flash Force Pattern,true,990000
com.flashforceapp.piratesaway,published,managed_by_android,false,en_US; American Pro ⚾  Away Pittsburgh; Flash Force Pattern,true,990000
com.flashforceapp.piratesalt1,published,managed_by_android,false,en_US; American Pro ⚾  White Alternate Pittsburgh; Flash Force Pattern,true,990000
com.flashforceapp.piratesalt2,published,managed_by_android,false,en_US; American Pro ⚾  Black Alternate Pittsburgh; Flash Force Pattern,true,990000
com.flashforceapp.piratesalt3,published,managed_by_android,false,en_US; American Pro ⚾  Brown Alternate Pittsburgh; Flash Force Pattern,true,990000
com.flashforceapp.twinsdefault,published,managed_by_android,false,en_US; American Pro ⚾  Home Minnesota; Flash Force Pattern,true,990000
com.flashforceapp.twinsaway,published,managed_by_android,false,en_US; American Pro ⚾  Away Minnesota; Flash Force Pattern,true,990000
com.flashforceapp.twinsalt1,published,managed_by_android,false,en_US; American Pro ⚾  Striped Cream Minnesota; Flash Force Pattern,true,990000
com.flashforceapp.twinsalt2,published,managed_by_android,false,en_US; American Pro ⚾  Blue Alternate Minnesota; Flash Force Pattern,true,990000
com.flashforceapp.redsdefault,published,managed_by_android,false,en_US; American Pro ⚾  Home Cincinnati; Flash Force Pattern,true,990000
com.flashforceapp.redsaway,published,managed_by_android,false,en_US; American Pro ⚾  Away Cincinnati; Flash Force Pattern,true,990000
com.flashforceapp.redsalt1,published,managed_by_android,false,en_US; American Pro ⚾  Red Alternate Cincinnati; Flash Force Pattern,true,990000
com.flashforceapp.sharksdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home San Jose; Flash Force Pattern,true,990000
com.flashforceapp.sharksaway,published,managed_by_android,false,en_US; NA Pro Hockey Away San Jose; Flash Force Pattern,true,990000
com.flashforceapp.sharksalt1,published,managed_by_android,false,en_US; NA Pro Hockey Black Alternate San Jose; Flash Force Pattern,true,990000
com.flashforceapp.redwingsdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home Detroit; Flash Force Pattern,true,990000
com.flashforceapp.redwingsaway,published,managed_by_android,false,en_US; NA Pro Hockey Away Detroit; Flash Force Pattern,true,990000
com.flashforceapp.predatorsdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home Nashville; Flash Force Pattern,true,990000
com.flashforceapp.predatorsaway,published,managed_by_android,false,en_US; NA Pro Hockey Away Nashville; Flash Force Pattern,true,990000
com.flashforceapp.hurricanesdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home Carolina; Flash Force Pattern,true,990000
com.flashforceapp.hurricanesaway,published,managed_by_android,false,en_US; NA Pro Hockey Away Carolina; Flash Force Pattern,true,990000
com.flashforceapp.hurricanesalt1,published,managed_by_android,false,en_US; NA Pro Hockey Black Alternate Carolina; Flash Force Pattern,true,990000
com.flashforceapp.bruinsdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home Boston; Flash Force Pattern,true,990000
com.flashforceapp.bruinsaway,published,managed_by_android,false,en_US; NA Pro Hockey Away Boston; Flash Force Pattern,true,990000
com.flashforceapp.bruinsalt1,published,managed_by_android,false,en_US; NA Pro Hockey Black Alternate Boston; Flash Force Pattern,true,990000
com.flashforceapp.bluejacketsdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home Columbus; Flash Force Pattern,true,990000
com.flashforceapp.bluejacketsaway,published,managed_by_android,false,en_US; NA Pro Hockey Away Columbus; Flash Force Pattern,true,990000
com.flashforceapp.bluejacketsalt1,published,managed_by_android,false,en_US; NA Pro Hockey Blue Alternate Columbus; Flash Force Pattern,true,990000
com.flashforceapp.flpanthersdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home Florida; Flash Force Pattern,true,990000
com.flashforceapp.flpanthersaway,published,managed_by_android,false,en_US; NA Pro Hockey Away Florida; Flash Force Pattern,true,990000
com.flashforceapp.ducksdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home Anaheim; Flash Force Pattern,true,990000
com.flashforceapp.ducksaway,published,managed_by_android,false,en_US; NA Pro Hockey Away Anaheim; Flash Force Pattern,true,990000
com.flashforceapp.sabresdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home Buffalo; Flash Force Pattern,true,990000
com.flashforceapp.sabresaway,published,managed_by_android,false,en_US; NA Pro Hockey Away Buffalo; Flash Force Pattern,true,990000
com.flashforceapp.sabresalt1,published,managed_by_android,false,en_US; NA Pro Hockey Yellow Alternate Buffalo; Flash Force Pattern,true,990000
com.flashforceapp.canadiensdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home Montreal; Flash Force Pattern,true,990000
com.flashforceapp.canadiensaway,published,managed_by_android,false,en_US; NA Pro Hockey Away Montreal; Flash Force Pattern,true,990000
com.flashforceapp.oilsdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home Edmonton; Flash Force Pattern,true,990000
com.flashforceapp.oilsaway,published,managed_by_android,false,en_US; NA Pro Hockey Away Edmonton; Flash Force Pattern,true,990000
com.flashforceapp.penguinsdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home Pittsburgh; Flash Force Pattern,true,990000
com.flashforceapp.penguinsaway,published,managed_by_android,false,en_US; NA Pro Hockey Away Pittsburgh; Flash Force Pattern,true,990000
com.flashforceapp.pengiunsalt1,published,managed_by_android,false,en_US; NA Pro Hockey Yellow Alternate Pittsburgh; Flash Force Pattern,true,990000
com.flashforceapp.nyrangersdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home New York (Manhattan); Flash Force Pattern,true,990000
com.flashforceapp.nyrangersaway,published,managed_by_android,false,en_US; NA Pro Hockey Away New York (Manhattan); Flash Force Pattern,true,990000
com.flashforceapp.nyrangersalt1,published,managed_by_android,false,en_US; NA Pro Hockey Black Alternate New York (Manhattan); Flash Force Pattern,true,990000
com.flashforceapp.capitalsdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home Washington DC; Flash Force Pattern,true,990000
com.flashforceapp.capitalsaway,published,managed_by_android,false,en_US; NA Pro Hockey Away Washington DC; Flash Force Pattern,true,990000
com.flashforceapp.capitalsalt1,published,managed_by_android,false,en_US; NA Pro Hockey White Alternate Washington DC; Flash Force Pattern,true,990000
com.flashforceapp.bluesdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home St Louis; Flash Force Pattern,true,990000
com.flashforceapp.bluesaway,published,managed_by_android,false,en_US; NA Pro Hockey Away St Louis; Flash Force Pattern,true,990000
com.flashforceapp.mapleleafsdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home Toronto; Flash Force Pattern,true,990000
com.flashforceapp.mapleleafsaway,published,managed_by_android,false,en_US; NA Pro Hockey Away Toronto; Flash Force Pattern,true,990000
