com.flashforceapp.marinersblue,published,managed_by_android,false,en_US; American Pro Baseball Blue Alternate Seattle; Flash Force Pattern,true,990000
com.flashforceapp.philliesdefault,published,managed_by_android,false,en_US; American Pro Baseball Home Philadelphia; Flash Force Pattern,true,990000
com.flashforceapp.philliesaway,published,managed_by_android,false,en_US; American Pro Baseball Away Philadelphia; Flash Force Pattern,true,990000
com.flashforceapp.philliesalt1,published,managed_by_android,false,en_US; American Pro Baseball Cream Philadelphia; Flash Force Pattern,true,990000
com.flashforceapp.metsdefault,published,managed_by_android,false,en_US; American Pro Baseball Home New York (Queens); Flash Force Pattern,true,990000
com.flashforceapp.metsaway,published,managed_by_android,false,en_US; American Pro Baseball Away New York (Queens); Flash Force Pattern,true,990000
com.flashforceapp.metsalt1,published,managed_by_android,false,en_US; American Pro Baseball Blue Alternate New York (Queens); Flash Force Pattern,true,990000
com.flashforceapp.metsalt2,published,managed_by_android,false,en_US; American Pro Baseball Blue Gray New York (Queens); Flash Force Pattern,true,990000
com.flashforceapp.metsalt3,published,managed_by_android,false,en_US; American Pro Baseball Brown Alternate New York (Queens; Flash Force Pattern,true,990000
com.flashforceapp.bravesdefault,published,managed_by_android,false,en_US; American Pro Baseball Home Atlanta; Flash Force Pattern,true,990000
com.flashforceapp.bravesaway,published,managed_by_android,false,en_US; American Pro Baseball Away Atlanta; Flash Force Pattern,true,990000
com.flashforceapp.bravesalt1,published,managed_by_android,false,en_US; American Pro Baseball Cream Atlanta; Flash Force Pattern,true,990000
com.flashforceapp.bravesalt2,published,managed_by_android,false,en_US; American Pro Baseball Red Alternate Atlanta; Flash Force Pattern,true,990000
com.flashforceapp.bravesalt3,published,managed_by_android,false,en_US; American Pro Baseball Blue Alternate Atlanta; Flash Force Pattern,true,990000
com.flashforceapp.athleticsdefault,published,managed_by_android,false,en_US; American Pro Baseball Home Oakland; Flash Force Pattern,true,990000
com.flashforceapp.athleticsaway,published,managed_by_android,false,en_US; American Pro Baseball Away Oakland; Flash Force Pattern,true,990000
com.flashforceapp.athleticsalt1,published,managed_by_android,false,en_US; American Pro Baseball Yellow Alternate Oakland; Flash Force Pattern,true,990000
com.flashforceapp.athleticsalt2,published,managed_by_android,false,en_US; American Pro Baseball Green Alternate Oakland; Flash Force Pattern,true,990000
com.flashforceapp.sfgiantsdefault,published,managed_by_android,false,en_US; American Pro Baseball Home San Francisco; Flash Force Pattern,true,990000
com.flashforceapp.sfgiantsaway,published,managed_by_android,false,en_US; American Pro Baseball Away San Francisco; Flash Force Pattern,true,990000
com.flashforceapp.sfgiantsalt1,published,managed_by_android,false,en_US; American Pro Baseball Orange Alternate San Francisco; Flash Force Pattern,true,990000
com.flashforceapp.sfgiantsalt2,published,managed_by_android,false,en_US; American Pro Baseball Black Alternate San Francisco; Flash Force Pattern,true,990000
com.flashforceapp.sfgiantsalt3,published,managed_by_android,false,en_US; American Pro Baseball Gray Alternate San Francisco; Flash Force Pattern,true,990000
com.flashforceapp.nationalsdefault,published,managed_by_android,false,en_US; American Pro Baseball Home Washington; Flash Force Pattern,true,990000
com.flashforceapp.nationalsaway,published,managed_by_android,false,en_US; American Pro Baseball Away Washington; Flash Force Pattern,true,990000
com.flashforceapp.nationalsalt1,published,managed_by_android,false,en_US; American Pro Baseball Red Alternate Washington; Flash Force Pattern,true,990000
com.flashforceapp.nationalsalt2,published,managed_by_android,false,en_US; American Pro Baseball Blue Alternate Washington; Flash Force Pattern,true,990000
com.flashforceapp.marlinsdefault,published,managed_by_android,false,en_US; American Pro Baseball Home Miami; Flash Force Pattern,true,990000
com.flashforceapp.marlinsaway,published,managed_by_android,false,en_US; American Pro Baseball Away Miami; Flash Force Pattern,true,990000
com.flashforceapp.marlinsalt1,published,managed_by_android,false,en_US; American Pro Baseball Black Alternate Miami; Flash Force Pattern,true,990000
com.flashforceapp.marlinsalt2,published,managed_by_android,false,en_US; American Pro Baseball Red Alternate Miami; Flash Force Pattern,true,990000
com.flashforceapp.tigersdefault,published,managed_by_android,false,en_US; American Pro Baseball Home Detroit; Flash Force Pattern,true,990000
com.flashforceapp.tigersaway,published,managed_by_android,false,en_US; American Pro Baseball Away Detroit; Flash Force Pattern,true,990000
com.flashforceapp.piratesdefault,published,managed_by_android,false,en_US; American Pro Baseball Home Pittsburgh; Flash Force Pattern,true,990000
com.flashforceapp.piratesaway,published,managed_by_android,false,en_US; American Pro Baseball Away Pittsburgh; Flash Force Pattern,true,990000
com.flashforceapp.piratesalt1,published,managed_by_android,false,en_US; American Pro Baseball White Alternate Pittsburgh; Flash Force Pattern,true,990000
com.flashforceapp.piratesalt2,published,managed_by_android,false,en_US; American Pro Baseball Black Alternate Pittsburgh; Flash Force Pattern,true,990000
com.flashforceapp.piratesalt3,published,managed_by_android,false,en_US; American Pro Baseball Brown Alternate Pittsburgh; Flash Force Pattern,true,990000
com.flashforceapp.twinsdefault,published,managed_by_android,false,en_US; American Pro Baseball Home Minnesota; Flash Force Pattern,true,990000
com.flashforceapp.twinsaway,published,managed_by_android,false,en_US; American Pro Baseball Away Minnesota; Flash Force Pattern,true,990000
com.flashforceapp.twinsalt1,published,managed_by_android,false,en_US; American Pro Baseball Striped Cream Minnesota; Flash Force Pattern,true,990000
com.flashforceapp.twinsalt2,published,managed_by_android,false,en_US; American Pro Baseball Blue Alternate Minnesota; Flash Force Pattern,true,990000
com.flashforceapp.redsdefault,published,managed_by_android,false,en_US; American Pro Baseball Home Cincinnati; Flash Force Pattern,true,990000
com.flashforceapp.redsaway,published,managed_by_android,false,en_US; American Pro Baseball Away Cincinnati; Flash Force Pattern,true,990000
com.flashforceapp.redsalt1,published,managed_by_android,false,en_US; American Pro Baseball Red Alternate Cincinnati; Flash Force Pattern,true,990000
com.flashforceapp.sharksdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home San Jose; Flash Force Pattern,true,990000
com.flashforceapp.sharksaway,published,managed_by_android,false,en_US; NA Pro Hockey Away San Jose; Flash Force Pattern,true,990000
com.flashforceapp.sharksalt1,published,managed_by_android,false,en_US; NA Pro Hockey Black Alternate San Jose; Flash Force Pattern,true,990000
com.flashforceapp.redwingsdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home Detroit; Flash Force Pattern,true,990000
com.flashforceapp.redwingsaway,published,managed_by_android,false,en_US; NA Pro Hockey Away Detroit; Flash Force Pattern,true,990000
com.flashforceapp.predatorsdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home Nashville; Flash Force Pattern,true,990000
com.flashforceapp.predatorsaway,published,managed_by_android,false,en_US; NA Pro Hockey Away Nashville; Flash Force Pattern,true,990000
com.flashforceapp.hurricanesdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home Carolina; Flash Force Pattern,true,990000
com.flashforceapp.hurricanesaway,published,managed_by_android,false,en_US; NA Pro Hockey Away Carolina; Flash Force Pattern,true,990000
com.flashforceapp.hurricanesalt1,published,managed_by_android,false,en_US; NA Pro Hockey Black Alternate Carolina; Flash Force Pattern,true,990000
com.flashforceapp.bruinsdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home Boston; Flash Force Pattern,true,990000
com.flashforceapp.bruinsaway,published,managed_by_android,false,en_US; NA Pro Hockey Away Boston; Flash Force Pattern,true,990000
com.flashforceapp.bruinsalt1,published,managed_by_android,false,en_US; NA Pro Hockey Black Alternate Boston; Flash Force Pattern,true,990000
com.flashforceapp.bluejacketsdefault,published,managed_by_android,false,en_US; NA Pro Hockey Home Columbus; Flash Force Pattern,true,990000
com.flashforceapp.bluejacketsaway,published,managed_by_android,false,en_US; NA Pro Hockey Away Columbus; Flash Force Pattern,true,990000
com.flashforceapp.bluejacketsalt1,published,managed_by_android,false,en_US; NA Pro Hockey Blue Alternate Columbus; Flash Force Pattern,true,990000
