SKU	Product ID	Reference Name	Type	Cleared For Sale	Wholesale Price Tier	Displayed Name	Description	Screenshot Path	Effective Date	End Date	Review Notes	Hosted Content Path
smarterappsflashforce	com.flashforceapp.arsenalhome	Club Soccer UK  Arsenal Home	Non-Consumable	yes	1	Club Soccer UK  Arsenal Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
smarterappsflashforce	com.flashforceapp.chelseahome	Club Soccer UK  Chelsea Home	Non-Consumable	yes	1	Club Soccer UK  Chelsea Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
smarterappsflashforce	com.flashforceapp.leicesterhome	Club Soccer UK  Leicester Home	Non-Consumable	yes	1	Club Soccer UK  Leicester Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
smarterappsflashforce	com.flashforceapp.liverpoolhome	Club Soccer UK  Liverpool Home	Non-Consumable	yes	1	Club Soccer UK  Liverpool Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
smarterappsflashforce	com.flashforceapp.manchestercityhome	Club Soccer UK  Manchester City Home	Non-Consumable	yes	1	Club Soccer UK  Manchester City Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
smarterappsflashforce	com.flashforceapp.manchesterunitedhome	Club Soccer UK  Manchester United Home	Non-Consumable	yes	1	Club Soccer UK  Manchester United Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
smarterappsflashforce	com.flashforceapp.newcastlehome	Club Soccer UK  Newcastle Home	Non-Consumable	yes	1	Club Soccer UK  Newcastle Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
smarterappsflashforce	com.flashforceapp.tottenhamhome	Club Soccer UK  Tottenham Home	Non-Consumable	yes	1	Club Soccer UK  Tottenham Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
smarterappsflashforce	com.flashforceapp.chicagofirehome	Club Soccer USA  Chicago Fire Home	Non-Consumable	yes	1	Club Soccer USA  Chicago Fire Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
smarterappsflashforce	com.flashforceapp.coloradorapidshome	Club Soccer USA  Colorado Rapids Home	Non-Consumable	yes	1	Club Soccer USA  Colorado Rapids Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
